run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,lambda,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
0,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99933,6233.0,1.0,6233.0,6233.0,665.0,318849.0,339.0,339.0,0.0,1.0,1.0
1,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99945,6952.0,1.0,6952.0,6952.0,584.0,288334.0,182.0,182.0,0.0,1.0,1.0
2,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99874,6627.0,1.0,6627.0,6627.0,609.0,292512.0,235.0,235.0,0.0,1.0,1.0
3,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99866,5989.0,1.0,5989.0,5989.0,599.0,271334.0,306.0,306.0,0.0,1.0,1.0
4,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99954,5688.0,1.0,5688.0,5688.0,705.0,306990.0,321.0,321.0,0.0,1.0,1.0
5,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99876,7340.0,1.0,7340.0,7340.0,663.0,341532.0,277.0,277.0,0.0,1.0,1.0
6,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99868,6639.0,1.0,6639.0,6639.0,556.0,261393.0,95.0,95.0,0.0,1.0,1.0
7,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99977,6948.0,1.0,6948.0,6948.0,604.0,303195.0,276.0,276.0,0.0,1.0,1.0
8,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99853,7918.0,1.0,7918.0,7918.0,554.0,296649.0,200.0,200.0,0.0,1.0,1.0
9,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99856,6801.0,1.0,6801.0,6759.0,624.0,305548.0,198.0,198.0,0.0,1.0,1.0
10,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99852,6829.0,1.0,6829.0,6829.0,656.0,324475.0,264.0,264.0,0.0,1.0,1.0
11,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99935,6437.0,1.0,6437.0,6437.0,585.0,276298.0,309.0,309.0,0.0,1.0,1.0
12,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99973,6207.0,1.0,6207.0,6207.0,612.0,290029.0,352.0,352.0,0.0,1.0,1.0
13,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99902,6676.0,1.0,6676.0,6676.0,586.0,281427.0,322.0,322.0,0.0,1.0,1.0
14,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99907,6669.0,1.0,6669.0,6669.0,663.0,332779.0,336.0,336.0,0.0,1.0,1.0
15,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99857,6725.0,1.0,6725.0,6725.0,618.0,298924.0,294.0,294.0,0.0,1.0,1.0
16,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99976,5727.0,1.0,5727.0,5708.0,663.0,294569.0,15.0,15.0,0.0,1.0,1.0
17,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99871,6700.0,1.0,6700.0,6685.0,648.0,318970.0,106.0,106.0,0.0,1.0,1.0
18,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99995,7546.0,1.0,7546.0,7546.0,642.0,331459.0,265.0,265.0,0.0,1.0,1.0
19,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99905,6765.0,1.0,6765.0,6765.0,662.0,320181.0,231.0,231.0,0.0,1.0,1.0
20,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99893,5966.0,1.0,5966.0,5966.0,712.0,327789.0,310.0,310.0,0.0,1.0,1.0
21,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99906,6268.0,1.0,6268.0,6268.0,709.0,324797.0,213.0,213.0,0.0,1.0,1.0
22,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99915,7194.0,1.0,7194.0,7194.0,624.0,321125.0,322.0,322.0,0.0,1.0,1.0
23,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99949,6883.0,1.0,6883.0,6883.0,586.0,293243.0,343.0,343.0,0.0,1.0,1.0
24,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99963,6889.0,1.0,6889.0,6889.0,536.0,260516.0,299.0,299.0,0.0,1.0,1.0
25,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99941,7108.0,1.0,7108.0,7108.0,588.0,301252.0,315.0,315.0,0.0,1.0,1.0
26,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99893,6196.0,1.0,6196.0,6196.0,647.0,311463.0,131.0,131.0,0.0,1.0,1.0
27,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99980,7151.0,1.0,7151.0,7151.0,623.0,316685.0,272.0,272.0,0.0,1.0,1.0
28,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99904,6999.0,1.0,6999.0,6999.0,615.0,300883.0,237.0,237.0,0.0,1.0,1.0
29,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99931,6968.0,1.0,6968.0,6968.0,586.0,293662.0,129.0,129.0,0.0,1.0,1.0
30,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99821,6646.0,1.0,6646.0,6646.0,526.0,252239.0,428.0,428.0,0.0,1.0,1.0
31,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99934,7078.0,1.0,7078.0,7078.0,623.0,323450.0,429.0,429.0,0.0,1.0,1.0
32,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99824,7028.0,1.0,7028.0,7028.0,554.0,266743.0,502.0,502.0,0.0,1.0,1.0
33,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99892,6537.0,1.0,6537.0,6537.0,625.0,297179.0,255.0,255.0,0.0,1.0,1.0
34,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99862,6638.0,1.0,6638.0,6638.0,586.0,288734.0,180.0,180.0,0.0,1.0,1.0
35,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99967,5642.0,1.0,5642.0,5642.0,707.0,304965.0,263.0,263.0,0.0,1.0,1.0
36,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99882,7247.0,1.0,7247.0,7247.0,616.0,330018.0,249.0,249.0,0.0,1.0,1.0
37,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99878,7017.0,1.0,7017.0,7000.0,621.0,304569.0,366.0,366.0,0.0,1.0,1.0
38,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99907,6629.0,1.0,6629.0,6629.0,664.0,319328.0,481.0,481.0,0.0,1.0,1.0
39,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99856,7327.0,1.0,7327.0,7327.0,620.0,313891.0,320.0,320.0,0.0,1.0,1.0
40,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99997,6599.0,1.0,6599.0,6599.0,555.0,258509.0,145.0,145.0,0.0,1.0,1.0
41,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99835,6910.0,1.0,6910.0,6910.0,581.0,286666.0,178.0,178.0,0.0,1.0,1.0
42,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99810,6260.0,1.0,6260.0,6260.0,526.0,240829.0,346.0,346.0,0.0,1.0,1.0
43,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99850,6080.0,1.0,6080.0,6080.0,554.0,251082.0,148.0,148.0,0.0,1.0,1.0
44,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99885,5793.0,1.0,5793.0,5793.0,588.0,262007.0,399.0,399.0,0.0,1.0,1.0
45,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99902,5879.0,1.0,5879.0,5879.0,586.0,265948.0,78.0,78.0,0.0,1.0,1.0
46,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99952,6616.0,1.0,6616.0,6522.0,664.0,326742.0,418.0,418.0,0.0,1.0,1.0
47,Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,99898,5970.0,1.0,5970.0,5970.0,620.0,284950.0,463.0,463.0,0.0,1.0,1.0
