run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
0,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9973,7087.0,1.0,7087.0,7087.0,22.0,13824.0,374.0,374.0,0.0,1.0,1.0
1,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9874,6959.0,1.0,6959.0,6959.0,56.0,26896.0,178.0,178.0,0.0,1.0,1.0
2,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9986,6377.0,1.0,6377.0,6377.0,63.0,28771.0,160.0,160.0,0.0,1.0,1.0
3,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9847,6465.0,1.0,6465.0,6465.0,59.0,25336.0,352.0,352.0,0.0,1.0,1.0
4,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9990,5543.0,1.0,5543.0,5543.0,72.0,29895.0,258.0,258.0,0.0,1.0,1.0
5,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9891,7278.0,1.0,7278.0,7278.0,66.0,32307.0,294.0,294.0,0.0,1.0,1.0
6,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9891,6704.0,1.0,6704.0,6704.0,56.0,25027.0,79.0,79.0,0.0,1.0,1.0
7,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9930,6593.0,1.0,6593.0,6593.0,63.0,29671.0,175.0,175.0,0.0,1.0,1.0
8,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9901,8092.0,1.0,8092.0,8092.0,56.0,28500.0,315.0,315.0,0.0,1.0,1.0
9,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9843,6585.0,1.0,6585.0,6585.0,62.0,28949.0,204.0,204.0,0.0,1.0,1.0
10,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9855,6608.0,1.0,6608.0,6608.0,66.0,30890.0,188.0,188.0,0.0,1.0,1.0
11,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9934,6795.0,1.0,6795.0,6795.0,59.0,26484.0,211.0,211.0,0.0,1.0,1.0
12,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9921,6557.0,1.0,6557.0,6557.0,63.0,28138.0,245.0,245.0,0.0,1.0,1.0
13,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9861,6664.0,1.0,6664.0,6664.0,59.0,26912.0,382.0,382.0,0.0,1.0,1.0
14,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9906,7206.0,1.0,7206.0,7206.0,66.0,31512.0,151.0,151.0,0.0,1.0,1.0
15,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9871,6872.0,1.0,6872.0,6872.0,62.0,28553.0,220.0,220.0,0.0,1.0,1.0
16,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9950,6305.0,1.0,6305.0,6305.0,66.0,27804.0,106.0,106.0,0.0,1.0,1.0
17,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9862,6471.0,1.0,6471.0,6471.0,64.0,29908.0,138.0,138.0,0.0,1.0,1.0
18,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9906,7757.0,1.0,7757.0,7757.0,62.0,30452.0,278.0,278.0,0.0,1.0,1.0
19,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9946,6894.0,1.0,6894.0,6894.0,66.0,30175.0,405.0,405.0,0.0,1.0,1.0
20,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9931,6028.0,1.0,6028.0,6028.0,72.0,31399.0,384.0,384.0,0.0,1.0,1.0
21,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9923,6136.0,1.0,6136.0,6136.0,71.0,30949.0,314.0,314.0,0.0,1.0,1.0
22,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9849,7362.0,1.0,7362.0,7362.0,62.0,30326.0,342.0,342.0,0.0,1.0,1.0
23,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9954,6882.0,1.0,6882.0,6882.0,59.0,27999.0,314.0,314.0,0.0,1.0,1.0
24,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9831,6632.0,1.0,6632.0,6632.0,55.0,25528.0,285.0,285.0,0.0,1.0,1.0
25,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9911,6747.0,1.0,6747.0,6747.0,59.0,28664.0,374.0,374.0,0.0,1.0,1.0
26,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9979,6770.0,1.0,6770.0,6770.0,66.0,30220.0,99.0,99.0,0.0,1.0,1.0
27,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9901,7196.0,1.0,7196.0,7196.0,63.0,30437.0,347.0,347.0,0.0,1.0,1.0
28,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9859,6584.0,1.0,6584.0,6584.0,62.0,28693.0,209.0,209.0,0.0,1.0,1.0
29,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9851,7181.0,1.0,7181.0,7181.0,59.0,28156.0,161.0,161.0,0.0,1.0,1.0
30,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9892,6894.0,1.0,6894.0,6894.0,53.0,24130.0,278.0,278.0,0.0,1.0,1.0
31,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9994,7315.0,1.0,7315.0,7315.0,60.0,29696.0,621.0,621.0,0.0,1.0,1.0
32,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9840,7203.0,1.0,7203.0,7203.0,55.0,25130.0,471.0,471.0,0.0,1.0,1.0
33,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9921,6756.0,1.0,6756.0,6756.0,63.0,28473.0,345.0,345.0,0.0,1.0,1.0
34,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9851,7078.0,1.0,7078.0,7078.0,59.0,27623.0,320.0,320.0,0.0,1.0,1.0
35,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9975,5957.0,1.0,5957.0,5957.0,71.0,29168.0,361.0,361.0,0.0,1.0,1.0
36,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9929,7811.0,1.0,7811.0,7811.0,63.0,31958.0,172.0,172.0,0.0,1.0,1.0
37,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9872,7044.0,1.0,7036.0,7044.0,62.0,28865.0,281.0,357.0,8.0,1.0,1.0
38,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9907,6632.0,1.0,6632.0,6632.0,67.0,30496.0,508.0,508.0,0.0,1.0,1.0
39,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9926,7229.0,1.0,7229.0,7229.0,63.0,30278.0,399.0,399.0,0.0,1.0,1.0
40,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9901,6573.0,1.0,6573.0,6573.0,56.0,24723.0,162.0,162.0,0.0,1.0,1.0
41,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9811,6978.0,1.0,6978.0,6954.0,57.0,26857.0,256.0,256.0,0.0,1.0,1.0
42,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9871,6939.0,1.0,6939.0,6939.0,53.0,23078.0,335.0,335.0,0.0,1.0,1.0
43,Random Uniform 0.2,Perfect Communication,w Timestamp,0.05,0.0,DSA_ASY,0.7,9917,6035.0,1.0,6035.0,6035.0,56.0,24069.0,160.0,160.0,0.0,1.0,1.0
