run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
0,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7358.0,0.0,1142.0,7269.0,3.0,94.0,574.0,4.0,6216.0,1.0,1.0
1,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6855.0,1.0,2231.5,6855.0,7.0,235.0,166.0,89.0,4623.5,1.0,1.0
2,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6436.0,1.0,1714.5,6436.0,1.0,172.0,122.0,39.0,4721.5,1.0,1.0
3,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7390.0,1.0,1722.0,7255.0,1.0,152.0,232.0,41.0,5668.0,1.0,1.0
4,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7006.0,1.0,1245.0,6995.0,4.0,111.0,129.0,0.0,5761.0,1.0,1.0
5,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7179.0,1.0,1043.5,7127.0,2.0,99.0,644.0,133.0,6135.5,1.0,1.0
6,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6782.0,1.0,1503.5,6782.0,1.0,126.0,233.0,14.0,5278.5,1.0,1.0
7,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6599.0,1.0,1701.0,6584.0,6.0,154.0,201.0,17.0,4898.0,1.0,1.0
8,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,5816.0,1.0,2602.0,5816.0,1.0,326.0,131.0,88.0,3214.0,1.0,1.0
9,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7600.0,1.0,749.5,7600.0,0.0,69.0,275.0,26.0,6850.5,1.0,1.0
10,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6643.0,1.0,3050.5,6194.0,0.0,342.0,291.0,123.0,3592.5,1.0,1.0
11,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7021.0,1.0,1658.5,6944.0,0.0,137.0,191.0,5.0,5362.5,1.0,1.0
12,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,5860.0,1.0,1970.0,5860.0,4.0,208.0,375.0,121.0,3890.0,1.0,1.0
13,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7072.0,1.0,1195.0,6988.0,1.0,114.0,616.0,113.0,5877.0,1.0,1.0
14,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7327.0,1.0,586.0,7327.0,1.0,58.0,817.0,58.0,6741.0,1.0,1.0
15,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,5560.0,1.0,3056.0,5250.0,4.0,480.0,192.0,43.0,2504.0,1.0,1.0
16,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6491.0,1.0,2263.5,6088.0,7.0,230.0,254.0,75.0,4227.5,1.0,1.0
17,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6548.0,1.0,1617.0,6548.0,0.0,159.0,560.0,70.0,4931.0,1.0,1.0
18,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6271.0,1.0,1544.0,6271.0,2.0,161.0,643.0,207.0,4727.0,1.0,1.0
19,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6670.0,1.0,1958.0,6466.0,1.0,185.0,179.0,0.0,4712.0,1.0,1.0
20,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,5911.0,1.0,2253.0,5911.0,3.0,260.0,209.0,84.0,3658.0,1.0,1.0
21,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6201.0,1.0,1651.0,6201.0,2.0,164.0,207.0,3.0,4550.0,1.0,1.0
22,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6273.0,0.0,2142.5,6239.0,7.0,228.0,160.0,14.0,4130.5,1.0,1.0
23,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6090.0,1.0,1983.5,6090.0,2.0,176.0,128.0,18.0,4106.5,1.0,1.0
24,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6750.0,0.0,1480.5,6719.0,6.0,143.0,743.0,256.0,5269.5,1.0,1.0
25,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,5317.0,1.0,3655.5,5077.0,3.0,630.0,90.0,130.0,1661.5,1.0,1.0
26,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,5866.0,1.0,2387.0,5866.0,4.0,275.0,641.0,127.0,3479.0,1.0,1.0
27,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6207.0,1.0,2854.5,5929.0,1.0,417.0,56.0,27.0,3352.5,1.0,1.0
28,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7694.0,0.0,2262.5,7127.0,0.0,220.0,227.0,12.0,5431.5,1.0,1.0
29,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,6022.0,1.0,2593.0,6022.0,3.0,306.0,60.0,22.0,3429.0,1.0,1.0
30,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,7914.0,1.0,2215.0,7506.0,0.0,188.0,1034.0,240.0,5699.0,1.0,1.0
31,Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,9999,4992.0,1.0,2450.5,4901.0,11.0,286.0,219.0,88.0,2541.5,1.0,1.0
