DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,lambda,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,0,12159.27,1.0,0.0,12159.27,0.0,0.0,488.96,0.0,12159.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,100,11618.96,0.91,741.445,11603.41,0.52,518.94,461.41,29.38,10877.515,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,200,10853.09,0.88,7223.965,10826.45,1.5,777.72,439.55,291.2,3629.125,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,300,10805.44,0.57,8890.735,10601.45,2.36,1166.06,435.55,363.05,1914.705,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,400,10605.77,0.66,9169.265,10435.27,2.75,1324.78,419.21,357.14,1439.965,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,500,10164.29,0.84,9116.165,10092.17,3.41,1632.9,411.9,354.98,1056.155,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,600,10041.76,0.66,8857.67,9863.35,4.09,1969.53,404.56,354.51,1185.15,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,700,9954.53,0.57,8732.475,9714.95,4.66,2252.33,397.25,339.07,1222.685,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,800,9633.56,0.7,8632.96,9485.78,5.28,2553.73,390.6,326.92,1001.72,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,900,9561.23,0.63,8535.88,9392.46,5.87,2832.51,386.66,325.8,1026.55,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,1000,9453.24,0.58,8425.405,9278.91,6.53,3155.97,366.67,325.98,1033.945,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,1100,9217.43,0.73,8373.2,9088.91,7.21,3471.52,356.91,330.42,861.54,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,1200,9157.99,0.63,8255.295,8986.94,7.76,3746.13,350.19,324.36,902.755,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,1300,9060.12,0.57,8223.99,8865.05,8.37,4040.75,352.92,321.93,836.13,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,1400,8883.21,0.7,8154.745,8737.76,8.97,4343.5,353.1,328.81,738.135,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,1500,8784.9,0.72,8084.72,8650.19,9.51,4617.05,352.28,319.73,707.48,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,1600,8694.66,0.66,8004.41,8516.09,10.15,4924.71,341.36,319.57,696.4,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,1700,8621.8,0.66,7984.805,8432.54,10.73,5202.03,343.2,326.91,651.815,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,1800,8503.09,0.66,7889.295,8335.32,11.44,5544.9,342.78,315.27,625.865,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,1900,8433.72,0.65,7843.77,8267.08,12.02,5819.34,340.73,302.23,599.81,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,2000,8368.81,0.63,7809.83,8175.96,12.59,6101.58,337.61,305.86,573.68,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,2100,8258.11,0.67,7747.06,8084.66,13.25,6425.58,325.99,295.83,522.55,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,2200,8145.98,0.67,7683.625,7999.04,13.82,6697.15,317.39,293.83,471.545,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,2300,8091.27,0.62,7638.0,7937.51,14.4,6990.65,318.01,298.54,458.21,1.0,1.0
