DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,0,12154.0,1.0,0.0,12154.0,0.0,0.0,655.0,0.0,12154.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,10,12154.0,1.0,0.0,12154.0,0.0,480.0,655.0,0.0,12154.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,20,12295.0,0.0,7.5,12154.0,0.0,500.0,655.0,0.0,12287.5,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,30,12295.0,0.0,7.5,12154.0,0.0,500.0,655.0,0.0,12287.5,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,40,12105.0,1.0,79.5,12105.0,0.0,535.0,655.0,0.0,12025.5,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,50,11999.0,1.0,120.5,11999.0,0.0,551.0,655.0,0.0,11878.5,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,60,11999.0,1.0,120.5,11999.0,0.0,551.0,655.0,0.0,11878.5,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,70,11999.0,1.0,120.5,11999.0,0.0,551.0,655.0,0.0,11878.5,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,80,11999.0,1.0,120.5,11999.0,0.0,551.0,655.0,0.0,11878.5,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,90,11999.0,1.0,120.5,11999.0,0.0,551.0,655.0,0.0,11878.5,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,100,11999.0,1.0,120.5,11999.0,0.0,551.0,655.0,0.0,11878.5,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,110,11999.0,1.0,203.0,11999.0,0.0,575.0,655.0,0.0,11796.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,120,11999.0,1.0,203.0,11999.0,0.0,575.0,655.0,0.0,11796.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,130,11999.0,1.0,203.0,11999.0,0.0,575.0,655.0,0.0,11796.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,140,11999.0,1.0,203.0,11999.0,0.0,575.0,655.0,0.0,11796.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,150,11999.0,1.0,203.0,11999.0,0.0,575.0,655.0,0.0,11796.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,160,11989.0,1.0,427.0,11989.0,0.0,705.0,638.0,0.0,11562.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,170,11989.0,1.0,427.0,11989.0,0.0,705.0,638.0,0.0,11562.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,180,11794.0,1.0,568.0,11794.0,0.0,851.0,646.0,0.0,11226.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,190,11794.0,1.0,568.0,11794.0,0.0,851.0,646.0,0.0,11226.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,200,11794.0,1.0,568.0,11794.0,0.0,851.0,646.0,0.0,11226.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,210,11794.0,1.0,568.0,11794.0,0.0,851.0,646.0,0.0,11226.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,220,11361.0,1.0,642.0,11361.0,0.0,921.0,551.0,0.0,10719.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,230,11361.0,1.0,642.0,11361.0,0.0,921.0,551.0,0.0,10719.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,240,11361.0,1.0,642.0,11361.0,0.0,921.0,551.0,0.0,10719.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,3000.0,DSA_ASY,0.7,250,11508.0,0.0,762.5,11361.0,0.0,1043.0,819.0,25.0,10745.5,1.0,1.0
