DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,0,8134.21568627451,1.0,0.0,8134.21568627451,0.0,0.0,383.1372549019608,0.0,8134.21568627451,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,100,7434.901960784314,0.7058823529411765,809.7254901960785,7388.666666666667,0.7843137254901961,62.96078431372549,338.6470588235294,20.03921568627451,6625.176470588235,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,200,7299.490196078431,0.5882352941176471,1065.2058823529412,7201.921568627451,1.1176470588235294,87.82352941176471,331.94117647058823,34.705882352941174,6234.28431372549,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,300,7182.431372549019,0.6862745098039216,1239.6764705882354,7065.392156862745,1.3137254901960784,106.29411764705883,334.37254901960785,49.13725490196079,5942.754901960784,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,400,7049.392156862745,0.7058823529411765,1358.813725490196,6952.0392156862745,1.4705882352941178,118.29411764705883,326.7647058823529,54.98039215686274,5690.578431372549,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,500,6982.882352941177,0.6666666666666666,1444.7450980392157,6881.549019607844,1.5686274509803921,128.47058823529412,326.98039215686276,60.88235294117647,5538.137254901961,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,600,6930.725490196079,0.6862745098039216,1523.9705882352941,6831.137254901961,1.7058823529411764,137.64705882352942,319.8627450980392,70.49019607843137,5406.754901960784,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,700,6876.156862745098,0.8431372549019608,1585.813725490196,6791.882352941177,1.8627450980392157,145.84313725490196,314.45098039215685,72.01960784313725,5290.343137254902,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,800,6848.333333333333,0.6862745098039216,1631.5196078431372,6761.803921568628,2.019607843137255,152.01960784313727,314.27450980392155,72.68627450980392,5216.813725490196,1.0,1.0
Scale-Free Network,Perfect Communication,w Timestamp,0.9,0.0,DSA_ASY,0.7,900,6819.705882352941,0.6470588235294118,1670.3725490196077,6717.843137254902,2.0588235294117645,157.86274509803923,309.1372549019608,72.33333333333333,5149.333333333333,1.0,1.0
